name,epsilon,k,R,B,threshold,ntrue,ssod,savg,tavg,smax,cntrue,csod,cavg,cmax,kmc,ssize,scsize,csize,ccsize,mphfsize,bsize,bcsize
Sakai,0.01,11,4,1042202,54984,2.0,49953,0.72,1.15,7,65.0,3494775,2.25,16,12054426,5748471,3407983,3647707,3238811,912612,2999184,2011350
Sakai,0.001,11,6,1111682,5498,0.0,5332,0.64,1.05,3,47.0,1895444,1.68,13,12054426,10023477,5442645,5836330,5106447,912612,2999184,2011350
Sakai,0.01,15,5,212522,54984,1.0,46619,1.00,1.01,2,100.0,103228888,19.72,36,37956030,1197342,555054,929784,913521,2060340,5986612,2178630
Sakai,0.001,15,8,189752,5498,0.0,5405,0.99,1.00,1,100.0,110413369,21.09,35,37956030,1710273,822969,1328264,1330582,2060340,5986612,2178630
Sakai,0.01,21,5,120006,54984,1.0,52852,1.05,1.05,4,100.0,199585070,37.65,58,47651876,676815,357276,525026,548762,2027428,6003262,2091002
Sakai,0.001,21,9,95243,5498,0.0,5142,1.00,1.01,2,100.0,244436924,46.11,67,47651876,966658,564524,750039,812884,2027428,6003262,2091002
USakai,0.01,11,5,458224,256592,3.0,199141,0.72,2.46,23,99.0,76567800,25.19,122,15426856,14881405,7986017,2863900,3054308,1170444,4611976,3681695
USakai,0.001,11,6,610965,25659,0.0,18949,0.55,2.12,14,96.0,43472582,14.79,82,15426856,15882179,10721678,4124014,4670042,1170444,4611976,3681695
USakai,0.01,15,4,4786091,249261,2.0,244581,0.70,1.31,5,57.0,13544187,2.44,16,69462057,28747117,15437222,21537410,14779872,3722652,13458543,8338683
USakai,0.001,15,6,5105164,24926,0.0,23817,0.59,1.19,4,38.0,6854625,1.85,11,69462057,49809998,24112227,30630984,23296441,3722652,13458543,8338683
USakai,0.01,21,5,3992620,238264,2.0,200369,0.67,1.21,4,65.0,15618869,2.39,14,85324492,29972096,16114051,19963100,15723835,3908340,13918529,8399573
USakai,0.001,21,7,4562994,23826,0.0,19817,0.58,1.12,3,44.0,7735857,1.77,11,85324492,47940331,24754816,31940958,24523704,3908340,13918529,8399573
melanogaster,0.01,15,5,17850639,1425388,1.0,1394523,0.94,1.00,4,98.0,354503110,3.57,26,708291185,167531307,57375321,156193091,71232127,38684828,215429919,57619720
melanogaster,0.001,15,6,24792555,142539,0.0,131943,0.94,1.00,2,90.0,195897083,2.15,13,708291185,279064227,81377350,260321828,110760063,38684828,215429919,57619720
melanogaster,0.01,21,4,4694088,1425242,1.0,1412822,1.01,1.03,13,100.0,2701197708,22.16,82,980430596,35472937,16213703,30511572,18296562,46610076,244695060,52210186
melanogaster,0.001,21,8,3352920,142524,0.0,126534,0.98,1.00,4,100.0,3620319195,29.70,57,980430596,54239606,27654428,43587960,27549844,46610076,244695060,52210186
melanogaster,0.01,27,5,3717540,1425095,1.0,1107965,0.99,1.01,7,100.0,3500776960,28.32,68,1237398500,37511313,17655783,30205012,18650580,47251044,248115292,52551440
melanogaster,0.001,27,8,3319232,142510,0.0,128954,0.98,1.00,3,100.0,3763240245,30.44,55,1237398500,53608394,26732053,43150016,27036881,47251044,248115292,52551440
melanogaster,0.01,32,5,3814440,1424973,1.0,1114171,0.99,1.01,8,100.0,3449805491,27.70,65,1372027847,38439290,17762472,28608300,18949929,48965836,235774554,53752422
melanogaster,0.001,32,8,3405750,142497,0.0,129949,0.98,1.00,3,100.0,3707852117,29.77,57,1372027847,54923705,26591472,40869000,27474939,48965836,235774554,53752422
raimondii,0.01,15,4,83575168,7271326,2.0,5649749,0.78,1.08,11,81.0,529017095,2.59,70,1757484239,754498883,333501515,668601344,296876242,95924548,597688382,211278423
raimondii,0.001,15,6,89146846,727133,0.0,670866,0.73,1.02,5,69.0,324621610,1.87,26,1757484239,1273047813,517924444,1069762152,468275991,95924548,597688382,211278423
raimondii,0.01,21,4,84742080,7269142,1.0,5730540,0.97,1.01,9,99.0,2405593244,4.43,42,4374225956,678311312,208064027,635565600,271164822,215725316,1239705701,290033507
raimondii,0.001,21,7,69177208,726914,0.0,606511,0.95,1.00,3,100.0,2614246941,4.80,19,4374225956,1029631979,329607370,907950855,402685249,215725316,1239705701,290033507
raimondii,0.01,27,4,71403946,7266959,1.0,6489021,0.98,1.01,7,100.0,3653109186,6.05,43,6039944160,535743930,162193476,499827622,229211001,236591036,1293351870,294043035
raimondii,0.001,27,7,58288935,726696,0.0,693563,0.97,1.00,3,100.0,4062911455,6.73,22,6039944160,816390852,254642397,714039454,338473119,236591036,1293351870,294043035
raimondii,0.01,32,4,63793114,7265139,1.0,6869101,0.98,1.01,7,100.0,4588950561,7.26,34,6959362853,478589824,135908884,446551798,204828665,269928924,1376766633,309799835
raimondii,0.001,32,8,45566510,726514,0.0,640598,0.98,1.00,2,100.0,5954947765,9.42,22,6959362853,683767497,228255275,637931140,308126186,269928924,1376766633,309799835
GRCh38,0.01,15,3,225505316,29348603,3.0,27825655,0.89,1.78,33,76.0,1837592408,4.43,336,3833623129,1701562234,932009887,1775854364,652258385,209305012,1646422128,567283819
GRCh38,0.001,15,6,157853721,2934860,0.0,2446861,0.54,1.24,9,83.0,1811151451,4.00,58,3833623129,2512456873,1585868444,2486196106,980827953,209305012,1646422128,567283819
GRCh38,0.01,21,4,141645448,29348536,1.0,26002634,0.99,1.01,12,100.0,30384017566,13.06,126,18619896916,1276211029,358317191,1345631756,498773412,931637116,6457862503,1034544140
GRCh38,0.001,21,7,115628937,2934854,0.0,2767754,0.98,1.00,3,100.0,34977148381,15.03,36,18619896916,1823478762,573697992,1922331078,739531040,931637116,6457862503,1034544140
GRCh38,0.01,27,4,107171949,29348468,1.0,28225960,1.00,1.01,12,100.0,47531517518,19.14,92,24834344320,965780676,278884588,964547541,392471259,986099748,6573532286,1054481325
GRCh38,0.001,27,8,76551392,2934847,0.0,2590308,0.99,1.00,2,100.0,63640487293,25.63,47,24834344320,1457009459,475222653,1377925056,594468539,986099748,6573532286,1054481325
GRCh38,0.01,32,4,98414723,29348413,1.0,29244036,1.00,1.01,8,100.0,55861013970,21.76,104,28244208820,837541151,249691318,836525146,363569316,1084533564,6540396026,1116836232
GRCh38,0.001,32,8,70296231,2934841,0.0,2691283,0.99,1.00,2,100.0,75034685430,29.23,53,28244208820,1267399759,425309361,1195035927,545641817,1084533564,6540396026,1116836232
SRR622461,0.01,15,4,117393511,78992807,3.0,49297346,0.73,2.20,55,99.0,14331353592,21.46,398,4734871351,1996686305,1511550826,1291328621,656653778,258849020,2118462086,838369933
SRR622461,0.001,15,5,140872213,7899281,1.0,7384470,0.50,1.69,28,96.0,9034663138,13.92,233,4734871351,2651227779,2075579507,1936992929,953336895,258849020,2118462086,838369933
SRR622461,0.01,21,3,2385949540,73467945,2.0,70917777,0.89,1.11,13,48.0,2823279280,1.62,75,29085759652,16106359495,3656009214,18789352628,4649729555,1476356724,11018401257,2709401019
SRR622461,0.01,27,4,1782384901,67975320,1.0,49239429,0.86,1.04,6,59.0,3625655267,1.64,26,37340004710,16042625755,3883397150,17823849010,4875522242,1478543820,10813217292,2664896504
SRR622461,0.01,32,4,1719165525,63402975,1.0,49490384,0.87,1.03,5,61.0,3704897034,1.64,23,40733486291,14613805239,3593094452,16332072488,4654979082,1565739164,10360016343,2649281718
