Sakai	8	329392
Sakai	11	12054426
Sakai	15	37956030
Sakai	21	47651876
U_Sakai	8	329767
U_Sakai	11	15426856
U_Sakai	15	69462057
U_Sakai	21	85324492
melanogaster	15	708291185
melanogaster	21	980430596
melanogaster	27	1237398500
melanogaster	32	1372027847
raimondii	15	1757484239
raimondii	21	4374225956
raimondii	27	6039944160
raimondii	32	6959362853
GRCh38	15	3833623129
GRCh38	21	18619896916
GRCh38	27	24834344320
GRCh38	32	28244208820
SRR622461_1	15	4734871351
SRR622461_1	21	29085759652
SRR622461_1	27	37340004710
SRR622461_1	32	40733486291
